LANGUAGE,en,fr,es,de,it,ja
LEVEL_SELECTION_,LEVEL SELECTION,SÉLECTION DU NIVEAU,SELECCIÓN DE NIVEL,STUFE-AUSWAHL,SELEZIONE DEL LIVELLO,レベルの選択
LOADING_,LOADING,CHARGEMENT,CARGANDO,WIRD GELADEN,CARICAMENTO,読み込み中
OPEN_,OPEN,OUVRIR,ABIERTO,OFFEN,APRIRE,開ける
CLOSE_,CLOSE,FERMER,CERCA,SCHLIESSEN,VICINO,近い
PAUSED_,PAUSED,EN PAUSE,PAUSADO,PAUSE,PAUSED,一時停止中
RESUME_,RESUME,CONTINUER,REANUDAR,WIEDER AUFNEHMEN,IN PAUSA,再開する
HEALTH_,HEALTH,SANTÉ,VITALIDAD,GESUNDHEIT,SALUTE,健康
ARMOR_,ARMOR,ARMURE,ARMADURA,RÜSTUNG,ARMATURA,鎧
EXPERIENCE_,EXPERIENCE,EXPÉRIENCE,EXPERIENCIA,ERFAHRUNG,ESPERIENZA,経験
VICTORY_,VICTORY,LA VICTOIRE,VICTORIA,SIEG,VITTORIA,勝利
VICTORY_MESSAGE_,"You have shredded your foes, and sent Cthulu back to the void. Tiger's blood from Mars truly runs through your veins!",Vous avez déchiqueté vos ennemis et renvoyé Cthulu dans le vide. Le sang du Tigre de Mars coule véritablement dans vos veines !,Has destrozado a tus enemigos y enviado a Cthulu de regreso al vacío. ¡La sangre de tigre de Marte realmente corre por tus venas!,Du hast deine Feinde zerfetzt und Cthulu zurück in die Leere geschickt. Tigerblut vom Mars fließt wahrlich durch Ihre Adern!,ai fatto a pezzi i tuoi nemici e rimandato Cthulu nel vuoto. Il sangue di tigre proveniente da Marte scorre davvero nelle tue vene!,あなたは敵を粉砕し、クトゥルーを虚空に送り返しました。 まさに火星から来たタイガーの血があなたの血管に流れているのです！
DEFEAT_,DEFEAT,DÉFAITE,FRACASO,VERLUST,SCONFITTA,敗北
DEFEAT_MESSAGE_,The sour taste of defeat overwhelms you. The hordes of Cthulhu have won - in the end darkness is inevitable.,"Le goût aigre de la défaite vous envahit. Les hordes de Cthulhu ont gagné à la fin, l'obscurité est inévitable.",El sabor amargo de la derrota te abruma. Las hordas de Cthulhu han vencido y al final la oscuridad es inevitable.,Der saure Geschmack der Niederlage überwältigt dich. Die Horden von Cthulhu haben am Ende gesiegt. Die Dunkelheit ist unvermeidlich.,"Il sapore aspro della sconfitta ti travolge. Le orde di Cthulhu hanno vinto, alla fine l'oscurità è inevitabile.",敗北の酸っぱさがあなたを襲う。 クトゥルフの大群は最終的に勝利を収めましたが、暗闇は避けられません。
GOLD_AMOUNT_,Gold,Pièce d'or,Moneda de oro,Goldmünze,Moneta d'oro,通貨
BONUS_GOLD_DESCRIPTION_,25 Gold!  Gold  is used to purchase upgrades from the main menu.,25 pièces d'or ! L'or est utilisé pour acheter des améliorations depuis le menu principal.,¡25 de oro! El oro se usa para comprar mejoras desde el menú principal.,25 Gold! Mit Gold können Sie im Hauptmenü Upgrades kaufen.,25 Oro! L'oro viene utilizzato per acquistare potenziamenti dal menu principale.,
WINDOWED_MODE_,Windowed Mode,Mode fenêtré,Modo ventana,Fenstermodus,Modalità finestra,ウィンドウモード
MAIN_VOLUME_,Main Volume,Volume principal,Volumen principal,Hauptvolumen,Volume principale,メインボリューム
SOUND_EFFECTS_VOLUME_,Sound Effects Volume,Volume des effets sonores,Volumen de efectos de sonido,Lautstärke der Soundeffekte,Volume degli effetti sonori,効果音の音量
MUSIC_VOLUME_,Music Volume,Volume musical,Volumen de la música,Musiklautstärke,Volume della musica,音楽の音量
GAME_TEMPLATE_,Game Template,Modèle de jeu,Plantilla de juego,Spielvorlage,Modello di gioco,ゲームテンプレート
QUIT_TO_MAIN_,Quit to Main Menu?,Retour au menu principal ?,¿Salir al menú principal?,Zurück zum Hauptmenü?,Vuoi tornare al menu principale?,メインメニューに戻りますか?
LANGUAGE_,Language,Langue,Idioma,Sprache,Lingua,言語
ACH_NONE_TITLE_,You've done nothing!,Vous n'avez rien fait !,¡No has hecho nada!,Du hast nichts getan!,Non hai fatto niente!,何もしていない！
ACH_NONE_DESC_,You literally got an achievement for nothing.,Vous avez littéralement obtenu un succès pour rien.,Literalmente conseguiste un logro por nada.,Du hast buchstäblich einen Erfolg für nichts bekommen.,Hai letteralmente ottenuto un risultato per niente.,文字通り何もせずに実績を獲得しました。
ACH_NONE_EARNED_,This achievement is given away for free.,Ce succès est offert gratuitement.,Este logro se regala gratis.,Dieser Erfolg wird verschenkt.,Questo risultato viene regalato.,この実績は無料で付与されます。
ACH_WELCOME_FIRST_TIME_TITLE_,"Welcome, and thanks!","Bienvenue, et merci !",¡Bienvenido y gracias!,Willkommen und danke!,Benvenuto e grazie!,ようこそ、そしてありがとう！
ACH_WELCOME_FIRST_TIME_DESC_,"Thanks for playing, welcome to TEMPLATE GAME!","Merci de jouer, bienvenue dans TEMPLATE GAME !","¡Gracias por jugar, bienvenido a TEMPLATE GAME!","Danke fürs Spielen, willkommen bei TEMPLATE GAME!","Grazie per aver giocato, benvenuto in TEMPLATE GAME!",プレイしてくれてありがとう、TEMPLATE GAMEへようこそ！
ACH_WELCOME_FIRST_TIME_EARNED_,Earned for playing TEMPLATE GAME for the first time.,Obtenu en jouant à TEMPLATE GAME pour la première fois.,Conseguido por jugar a TEMPLATE GAME por primera vez.,Verdient für das erste Spielen von TEMPLATE GAME.,Ottenuto giocando a TEMPLATE GAME per la prima volta.,TEMPLATE GAMEを初めてプレイして獲得。
ACH_DIED_FIRST_TIME_TITLE_,Death is only the beginning.,La mort n'est que le début.,La muerte es solo el comienzo.,Der Tod ist erst der Anfang.,La morte è solo l'inizio.,死は始まりに過ぎない。
ACH_DIED_FIRST_TIME_DESC_,"Congratulations, you died!","Félicitations, vous êtes mort !","¡Felicidades, has muerto!","Glückwunsch, du bist gestorben!","Congratulazioni, sei morto!",おめでとう、死にました！
ACH_DIED_FIRST_TIME_EARNED_,Earned for dying for the first time.,Obtenu en mourant pour la première fois.,Conseguido por morir por primera vez.,Verdient für den ersten Tod.,Ottenuto morendo per la prima volta.,初めて死んで獲得。
ACH_KILL_1_TITLE_,"Are you one, Herbert?","En es-tu un, Herbert ?","¿Eres uno, Herbert?","Bist du einer, Herbert?","Sei uno di loro, Herbert?",君も一人なのか、ハーバート？
ACH_KILL_1_DESC_,"Well, you managed to kill at least one monster!","Eh bien, vous avez réussi à tuer au moins un monstre !","¡Bueno, lograste matar al menos un monstruo!","Nun, du hast mindestens ein Monster getötet!","Beh, sei riuscito a uccidere almeno un mostro!",少なくとも1体のモンスターを倒しました！
ACH_KILL_1_EARNED_,Earned for killing your first monster.,Obtenu en tuant votre premier monstre.,Conseguido por matar a tu primer monstruo.,Verdient für das Töten deines ersten Monsters.,Ottenuto uccidendo il tuo primo mostro.,最初のモンスターを倒して獲得。
